id,name,bf,lu,di,cal,fat,pro,sug,imagepath
38,Pear Green Smoothie,1,0,0,110,2,1,18.2,Pear_Green_Smoothie.jpg
39,Tomato,1,1,1,16,0.2,1.2,2.63,Tomatoes.jpg
40,Yogurt,1,1,1,60,4,3.1,7,Yogourt.jpg
41,Brownie,1,0,0,407,6.2,4.4,55,Brownie.jpg
42,Noodles,0,1,1,108,0.2,1.8,0,Noodles.jpg
43,Uttapam,1,1,1,188,7.2,4.4,0.24,Uttapam.jpg
44,Bhaji Pav,1,0,0,151,2.4,9,1.35,Bhaji_Pav.jpg
45,Dal Makhani,0,1,1,109,8.5,2.1,3.29,Dal_Makhani.jpg
46,Almonds,1,0,0,164,14,6,1.2,Almonds.jpg
47,Mushrooms,1,1,1,22,0.3,3.1,2,Marshmallows.jpg
48,Egg Yolk cooked,1,0,0,196,15,14,0.4,Egg_Yolk_cooked.jpg
49,Sweet Potatoes cooked,1,1,0,76,0.1,1.4,5.7,Sweet_Potatoes_cooked.jpg
50,Boiled Potatoes,1,1,1,87,0.1,1.9,0.9,Boiled_Potatoes.jpg
51,White Rice,0,1,1,360,0.6,6.6,0,White_Rice.jpg
52,Orange juice,1,0,0,45,0.2,0.7,8.4,Oranges.jpg
53,Greek yogurt plain,1,1,1,73,1.9,10,3.6,Greek_yogurt_plain.jpg
54,Oat Bran Cooked,1,0,0,40,0.9,3.2,0,Oat_Bran_Cooked.jpg
55,Green Tea,1,0,0,1,0,0.2,0,Green_Tea.jpg
56,Chia seeds,1,0,0,486,31,17,0,Chia_seeds.jpg
57,Cottage cheese with vegetables,0,1,1,95,4.2,11,0.4,Cottage_cheese_with_vegetables.jpg
58,Salmon,0,1,1,127,4.4,21,0,Salmon.jpg
59,Cereals-Corn Flakes,1,0,0,384,0.9,5.9,7.8,Cereals_Corn_Flakes.jpg
60,Beans,0,1,1,31,0.2,1.8,3.3,Beans.jpg
61,Lentils,0,1,1,101,0.5,8.8,0,Lentils.jpg
62,Pasta with corn homemade,0,1,1,126,0.7,2.6,0,Pasta_with_corn_homemade.jpg
63,Tea,1,0,0,1,0,0,0,Tea.jpg
64,Apples,1,0,0,52,0.2,0.3,10,apples.jpg
65,Strawberries,1,0,0,32,0.3,0.7,4.9,Strawberries.jpg
66,Quninoa,1,1,0,120,1.9,4.4,0.9,Quninoa.jpg
67,Goat meat,0,1,1,109,2.3,21,0,Goat_meat.jpg
68,Rabbit meat,0,1,1,114,2.3,22,0,Rabbit_meat.jpg
69,Chicken Strips,0,0,1,295,15,19,0.3,Chicken_Strips.jpg
70,Steak Fries,0,1,1,255,13,3.3,0.9,Steak_Fries.jpg
71,Mexican Rice,0,1,1,195,4.9,3.6,1.4,Mexican_Rice.jpg
72,Fried Shrimp,0,0,1,319,20,14,0.8,Fried_Shrimp.jpg
73,Spaghetti and meatballs,0,0,1,170,8.5,7.8,2,Spaghetti_and_meatballs.jpg
74,Macroni n Cheese ,0,1,1,194,12,6.5,2.8,Macroni_n_Cheese.jpg
75,Pork cooked,0,0,1,297,21,26,0,Pork_cooked.jpg
76,Bacon cooked,0,0,1,146,2.8,28,1.2,Bacon_cooked.jpg
77,Nachos,1,1,1,350,22,4.3,2.2,Nachos.jpg
78,Chicken Popcorn,0,1,1,351,22,18,0,Chicken_Popcorn.jpg
79,Turkey cooked,0,1,1,203,10,27,0,Turkey_cooked.jpg
80,Oyster cooked,0,1,1,159,4,29,0,Oyster_cooked.jpg
81,Beef sticks,1,0,0,550,50,22,0,Beef_sticks.jpg
82,Banana Chips,1,0,0,519,34,2.3,35,Banana_Chips.jpg
83,Honey,1,0,1,304,0,0.3,82,Honey.jpg
84,Chocolate Icecream,0,0,1,216,11,3.8,25,Chocolate_Icecream.jpg
85,Vanilla Ice cream,0,0,1,207,11,3.5,21,Vanilla_Ice-cream.jpg
86,Strawberry Icecream,0,0,1,192,8.4,3.2,0,Strawberry_Icecream.jpg
87,Marshmallows,0,0,1,318,0.2,1.8,58,Mushrooms.jpg
88,Chocolate milk,1,0,0,535,30,7.7,52,Chocolate_milk.jpg
89,Rice Pudding,0,0,1,376,0.1,2.7,0,Rice_Pudding.jpg
90,Blueberry Yogurt,1,0,0,100,1.2,4.1,19,Blueberry_Yogurt.jpg
91,Parmesan Egg White Omelet,1,0,0,228,15,18,2.5,Parmesan_Egg_White_Omelet.jpg
92,Apple Toast,1,0,0,130,4,4,7.1,Apple_Toast.jpg
93,Yogurt with Avocado & Basil,0,1,0,295,16,25,8,Yogurt with_Avocado_Basil.jpg
94,Microwaved sweet potato,0,1,1,112,0,2,5.4,Microwaved_sweet_potato.jpg
95,Banana Egg Pancake,1,0,0,224,10,8,15,Banana_Egg_Pancake.jpg
96,Tuna with Avocado,0,1,0,295,19,18,7.5,Tuna_with_Avocado.jpg
97,Lemon Steamed Broccoli,0,0,1,89,4,5,2.9,Lemon_Steamed_Broccoli.jpg
98,Chicken Wraps,0,1,1,368,12,33,4.5,Chicken_Wraps.jpg
99,Avocado Egg Toast,1,0,0,208,12,10,2,Avocado_Egg_Toast.jpg
100,Plum and Greek Yogurt Snack,1,0,0,185,7,20,10,Plum_and_Greek_Yogurt_Snack.jpg
101,Cream Cheese Turkey Rollups,0,1,0,277,8,14,5.6,Cream_Cheese_Turkey_Rollups.jpg
102,Pop Corn - Caramel,1,0,1,381,1.4,2,65,Popcorn_Caramel.jpg
103,Pop Corn,1,0,1,429,9.5,13,0.5,Popcorn.jpg
104,Dosa,1,1,1,168,3.7,4.5,0.1,Dosa.jpg
105,Idli,1,1,1,156,1.7,5,0.74,Idli.jpg
106,Poha,1,0,0,130,1.5,2.6,0.5,Poha.jpg
107,Chappati,0,1,1,297,7.5,11,2.7,Chappati.jpg
108,Neilas Cauliflower Eggs,1,0,0,399,24,31,6.3,Neilas_Cauliflower_Eggs.jpg
109,Coconut Peach Smoothie,1,0,0,379,29,10,15,Coconut_Peach_Smoothie.jpg
110,Protein Waffles,1,0,0,195,4,15,0.4,Protein_Waffles.jpg
111,Honey Grapefruit with Banana,1,0,0,116,2,0,22.6,Honey_Grapefruit_with_Banana.jpg
112,Simple Ham and Lettuce Sandwich,0,1,0,456,30,18,6.2,Simple_Ham_Lettuce_Sandwich.jpg
113,Corn Flakes,1,0,0,222,10,5,15,Corn_Flakes.jpg
114,Baby Carrot Banana Smoothie,0,1,0,259,2,36,19,Baby_Carrot_Banana_Smoothie.jpg
115,Vegetarian Fajita Pasta,0,0,1,443,15,16,2.4,Vegetarian_Fajita_Pasta.jpg
116,Banana Almond Butter,1,0,0,203,5,9,15.1,Banana_Almond_Butter.jpg
117,Strawberry French Toast,1,0,0,362,13,19,19,Strawberry_French_Toast.jpg
118,Peach and Peanut Butter Snack,1,1,0,247,16,9,15.4,Peach_and_Peanut_Butter_Snack.jpg
119,Bagels made in wheat,0,1,1,250,1.5,10,6.1,Bagels.jpg
120,Berries,1,0,0,349,0.4,14,46,Blueberries.jpg
121,Brocolli,0,1,1,25,0.5,3.8,0.6,Brocolli.jpg
122,Brown Rice,0,1,1,362,2.7,7.5,0,Brown_Rice.jpg
123,Cauliflower,0,1,1,32,0.3,3,0,Cauliflower.jpg
124,American cheese,1,0,0,331,24,20,0,American_cheese.jpg
125,Coffee,1,0,0,2,0,0.3,0,Coffee.jpg
126,Corn,1,1,1,97,1.4,3.3,7.7,Corn.jpg
127,Dark chocolates,0,0,1,556,32,5.5,48,Dark_Chocolate.jpg
128,Grapes,1,0,0,93,2.1,5.6,6.3,Grapes.jpg
129,Milk,1,0,1,97,6.9,3.8,0,Milk.jpg
130,Bananas,1,0,0,89,0.3,1.1,12,bananas.jpg
131,Vegan Aloo Gobi Wraps,0,1,1,408,15,10,6.2,Vegan_Aloo_Gobi_Wraps.jpg
132,Aloo Phujia,0,1,1,152,2,10,2.4,Aloo_Phujia.jpg
133,Aloo Tikki,0,1,1,144,4,3,2.3,Aloo_Tikki.jpg
134,Tasty Chickpea Curry,1,1,1,358,10,10,3.2,Tasty_Chickpea_Curry.jpg
135,Vegetarian Bean Curry,0,1,0,218,9,6,4.8,Vegetarian_Bean_Curry.jpg
136,Indian Basmati Rice with Peas,0,1,1,192,4,2,0.8,Indian_Basmati_Rice_with_Peas.jpg
137,Stuffed Eggplant,0,1,0,277,21,4,13.6,Stuffed_Eggplant.jpg
138,Quick Vegetarian Spaghetti,0,1,1,262,10,2,5.4,Quick_Vegetarian_Spaghetti.jpg
139,Vegetarian Lasagna,0,1,1,533,23,24,12.3,Vegetarian_Lasagna.jpg
140,Asparagus Cooked,0,1,1,22,0.2,2.4,1.3,Asparagus_Cooked.jpg
141,Avocados,1,0,0,160,15,2,0.7,avocados.jpg
142,Beef Burritos,0,0,1,446,22,24,2.6,Beef_Burritos.jpg
143,Edamame Slaw,0,0,1,234,13,11,9.3,Edamame_Slaw.jpg
144,Protein Power Oats,1,0,0,305,11,29,4,Protein_Power_Oats.jpg
145,Taco Bowl Salad,0,0,1,445,22,30,3.8,Taco_Bowl_Salad.jpg
146,Tuna Avocado Sandwich,0,1,0,344,19,10,8.3,Tuna_Avocado_Sandwich.jpg
147,Mexican Cottage Cheese Salad,0,1,0,335,39,3,12.6,Mexican_Cottage_Cheese_Salad.jpg
148,Chickpea Salad,0,1,0,545,25,30,10.1,Chickpea_Salad.jpg
149,Salmon Salad,0,1,0,568,33,38,13,Salmon_Salad.jpg
150,Chestnuts Dried,1,0,0,104.6,1.1,1.4,4,Chestnuts_Dried.jpg
151,Hot and Spicy Tofu,0,0,1,214,10,13,7.7,Hot_and_Spicy_Tofu.jpg
152,Spicy Coconut Chicken Curry,0,0,1,247,28,13,0.8,Spicy_Coconut_Chicken_Curry.jpg
153,Indian Spiced Roasted Chickpeas,0,1,0,150,6,7,0.1,Indian_Spiced_Roasted_Chickpeas.jpg
154,Cashew Nuts,1,0,0,553,44,18,5.9,Cashews.jpg
155,French Fries,0,1,1,289,14,3.5,0.3,French_Fries.jpg
156,Chicken Burger,0,1,1,292,15,18,0,Chicken_Burger.jpg
157,Cheese Burger,0,1,1,256,12,13,0,Cheese_Burger.jpg
158,Chicken Sandwich,0,1,1,257,12,15,5,Chicken_Sandwich.jpg
159,Sugar Doughnuts,0,1,1,426,23,5.2,32,Sugar_Doughnuts.jpg
160,Chocolate Doughnuts,0,1,1,452,25,4.9,27,Chocolate_Doughnuts.jpg
