Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Babyfood Apple Yogurt Dessert Strained,1,0,0,0,93,1.6,0.8,0,6,20,70,19.5,0.5,0,12.02
Vegetable Oil-Butter Spread Reduced Calorie,1,0,0,0,465,53,0,0.04,6,581,6,0,0,0,0
Salad Dressing Blue Or Roquefort Cheese Dressing Light,1,0,0,0,86,2.7,2.1,0.14,68,939,51,13.2,0,0,3.6
Salad Dressing French Dressing Reduced Calorie,1,0,0,0,227,13,0.4,0.4,11,804,79,27,0,0,25.92
Mayonnaise Made With Tofu,1,0,0,0,322,31.79,5.95,0.27,53,773,66,3.06,1.1,0,0.85
Frankfurter Beef Low Fat,0,1,0,0,140,9.5,12,1.15,8,744,129,1.6,0,0,0.85
Milk Buttermilk Fluid Cultured Reduced Fat,0,1,0,0,56,2,4.1,0.06,143,105,180,5.3,0,0,5.3
Salad Dressing Blue Or Roquefort Cheese Dressing Fat-Free,0,1,0,0,115,1.01,1.52,0.12,51,814,194,25.6,1.8,0,7.44
Salad Dressing Mayonnaise-Like Fat-Free,0,1,0,0,84,2.7,0.2,0.12,6,788,49,15.5,1.9,0,10.3
Mars Snackfood Us Milky Way Midnight Bar,0,1,0,0,443,17.5,3.2,1.2,53,168,196,71.22,2.9,0,57.81
Flaxseed Oil,0,1,0,0,884,99.98,0.11,0,1,0,0,0,0,0,0
Cheese Cottage Lowfat 1% Milkfat Lactose Reduced,0,1,0,0,74,1,12.4,0.14,53,220,86,3.2,0.6,0,2.6
Salad Dressing Bacon And Tomato,0,1,0,0,326,35,1.8,0.27,4,905,108,2,0.2,0,2
Grated Parmesan Cheese (Low-Sodium),0,1,0,0,451,29.99,41.6,0.95,800,63,107,3.7,0,0,0.85
Jams Preserves Marmalade Reduced Sugar,0,1,0,0,151,0.1,0,0,0,0,59,37.6,1.5,0,29.41
Fruit-Flavored Drink Powder With High Vitamin C With Other Added Vitamins Low Calorie,0,1,0,0,227,0.16,0.25,0.08,800,14,2518,91,2.2,0,0
Tomato And Vegetable Juice Low Sodium,0,1,0,0,22,0.1,0.6,0.42,11,58,193,4.59,0.8,0,3.28
Chocolate-Flavored Drink Whey And Milk Based,1,0,0,0,49,0.4,0.64,0.33,100,91,79,10.68,0.6,0,8.68
Hearts Of Palm Raw,1,0,0,0,115,0.2,2.7,1.69,18,14,1806,25.61,1.5,0,17.16
Post Shredded Wheat N Bran Spoon-Size,1,0,0,0,339,2.06,10.93,3.87,44,0,391,80.65,14.7,0,0.75
Cheese Cottage Lowfat 1% Milkfat With Vegetables,1,0,0,0,67,1,10.9,0.1,56,403,86,3,0,0,3
Yeast Extract Spread,1,0,0,0,185,0.9,23.88,4.04,67,3380,2100,20.42,6.5,0,1.6
Babyfood Juice Pear,1,0,0,0,43,0,0,0,12,8,130,11.86,0.1,0,7.28
Chicken Meatless Breaded Fried,1,0,0,0,234,12.77,21.28,3.83,42,400,300,8.51,4.3,0,0
Frozen Novelties Juice Type Juice With Cream,1,0,0,0,115,1.41,1.41,0.28,141,42,120,24.11,0.1,0,20.61
Tofu Yogurt,1,0,0,0,94,1.8,3.5,1.06,118,35,47,15.96,0.2,0,1.24
Millet Puffed,1,0,0,0,354,3.4,13,2.81,8,5,40,80,2.7,0,0.55
Oat Bran Flakes Health Valley,1,0,0,0,380,3,10,2.88,80,380,340,78,8,0,22
Abbott Ensure Plus Ready-To-Drink,1,0,0,0,141,4.52,5.16,1.79,79,95,175,19.88,0,0,8.33
Milk Imitation Non-Soy,1,0,0,0,46,2,1.6,0.1,82,55,150,5.3,0,0,5.3
Breakfast Bar Corn Flake Crust With Fruit,1,0,0,0,376,7.5,4.4,4.86,41,337,197,72.8,2.1,0,35.1
Cheese Mozzarella Low Sodium,1,0,0,0,280,17.1,27.5,0.25,731,16,95,3.1,0,0,1.23
Mayonnaise Dressing No Cholesterol,1,0,0,0,688,77.8,0,0.23,7,486,14,0.3,0,0,0.3
Oil Corn Peanut And Olive,1,0,0,0,884,100,0,0.13,0,0,0,0,0,0,0
Pie Fillings Blueberry Canned,1,0,0,0,181,0.2,0.41,0.8,27,12,115,44.38,2.6,0,37.75
Cocktail Mix Non-Alcoholic Concentrated Frozen,1,0,0,0,287,0.01,0.08,0.04,2,0,23,71.6,0,0,24.53
Puddings Chocolate Flavor Low Calorie Regular Dry Mix,1,0,0,0,365,3,10.08,3.87,50,3326,570,74.42,10.1,0,0.7
Puddings All Flavors Except Chocolate Low Calorie Regular Dry Mix,1,0,0,0,351,0.1,1.6,0.05,49,1765,18,86.04,0.9,0,2.9
Scallops,1,0,0,0,111,0.84,20.54,0.58,10,667,314,5.41,0,0,0
Syrup Cane,1,0,0,0,269,0,0,3.6,13,58,63,73.14,0,0,73.2
Lemons,1,0,0,0,29,0.3,1.1,0.6,26,2,138,9.32,2.8,0,2.5
Lemon Juice Raw,1,0,0,0,22,0.24,0.35,0.08,6,1,103,6.9,0.3,0,2.52
Lemon Juice From Concentrate Canned Or Bottled,1,0,0,0,17,0.07,0.45,0.06,10,24,109,5.62,0.7,0,1.53
Lemon Peel Raw,1,0,0,0,47,0.3,1.5,0.8,134,6,160,16,10.6,0,4.17
Plums Dried (Prunes) Stewed Without Added Sugar,1,0,0,0,107,0.16,0.96,0.41,19,1,321,28.08,3.1,0,24.98
Shredded Coconut Meat (Sweetened),1,0,0,0,71,0.03,0.61,1.18,12,4,276,17.45,1,0,16.45
Raspberries,1,0,0,0,52,0.65,1.2,0.69,25,1,151,11.94,6.5,0,4.42
Raspberries Canned Red Heavy Syrup Pack Solids And Liquids,1,0,0,0,91,0.12,0.83,0.42,11,3,94,23.36,3.3,0,20.06
Strawberries,1,0,0,0,32,0.3,0.67,0.41,16,1,153,7.68,2,0,4.89
Tamarinds,1,0,0,0,239,0.6,2.8,2.8,74,28,628,62.5,5.1,0,38.8
Watermelon,1,0,0,0,30,0.15,0.61,0.24,7,1,112,7.55,0.4,0,6.2
Maraschino Cherries (Canned),1,0,0,0,165,0.21,0.22,0.43,54,4,21,41.97,3.2,0,38.77
Pineapple Canned Juice Pack Drained,1,0,0,0,60,0.11,0.51,0.28,16,1,124,15.56,1.3,0,14.26
Apricots Canned Heavy Syrup Drained,1,0,0,0,83,0.11,0.64,0.3,10,4,143,21.31,2.7,0,18.65
Cherries Sour Canned Water Pack Drained,1,0,0,0,42,0.21,0.69,0.64,11,4,115,10.45,1.2,0,6.99
Cherries Sweet Canned Pitted Heavy Syrup Drained,1,0,0,0,83,0.21,0.73,0.35,10,3,148,21.07,2.3,0,16.18
Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,1,0,0,0,46,0.13,0.1,0.12,8,4,101,11.3,0.2,0,9.62
Applesauce Canned Unsweetened With Added Ascorbic Acid,1,0,0,0,42,0.1,0.17,0.23,4,2,74,11.27,1.1,0,9.39
Bartlett Pears,1,0,0,0,63,0.16,0.39,0.19,9,1,101,15.01,3.1,0,9.69
Red Anjou Pears,1,0,0,0,62,0.14,0.33,0.19,11,1,123,14.94,3,0,9.54
Bosc Pear,1,0,0,0,67,0.09,0.36,0.15,10,1,122,16.1,3.1,0,10.23
Green Anjou Pear,1,0,0,0,66,0.1,0.44,0.24,11,1,127,15.79,3.1,0,9.73
Prune Puree,1,0,0,0,257,0.2,2.1,2.8,31,23,852,65.1,3.3,0,39
Candied Fruit,1,0,0,0,322,0.07,0.34,0.17,18,98,56,82.74,1.6,0,80.68
Abiyuch,1,0,0,0,69,0.1,1.5,1.61,8,20,304,17.6,5.3,0,8.55
Rowal,1,0,0,0,111,2,2.3,2.2,15,4,131,23.9,6.2,0,14.1
Guava Nectar Canned With Added Ascorbic Acid,1,0,0,0,63,0.06,0.09,0.38,8,6,39,16.25,1,0,12.95
Mango Nectar Canned,1,0,0,0,51,0.06,0.11,0.36,17,5,24,13.12,0.3,0,12.45
Tamarind Nectar Canned,1,0,0,0,57,0.12,0.09,0.75,10,7,27,14.73,0.5,0,12.7
Pomegranate Juice Bottled,1,0,0,0,54,0.29,0.15,0.1,11,9,214,13.13,0.1,0,12.65
Nance Canned Syrup Drained,1,0,0,0,95,1.28,0.56,0.37,42,8,194,22.79,7,0,15.66
Nance Frozen Unsweetened,1,0,0,0,73,1.16,0.66,0.38,46,3,244,16.97,7.5,0,8.31
Naranjilla (Lulo) Pulp Frozen Unsweetened,1,0,0,0,25,0.22,0.44,0.35,8,4,200,5.9,1.1,0,3.74
Orange Pineapple Juice Blend,1,0,0,0,51,0.08,0.41,0.18,8,4,150,12.2,0.2,0,10.57
Fuji Apples,1,0,0,0,63,0.18,0.2,0.1,7,1,109,15.22,2.1,0,11.68
Orange Juice Chilled Includes From Concentrate With Added Calcium And Vitamins A D E,1,0,0,0,49,0.12,0.68,0.13,146,2,178,11.54,0.3,0,8.31
Fruit Juice Smoothie Naked Juice Mighty Mango,1,0,0,0,63,0,0.42,0.15,8,4,142,15,0,0,12.5
Fruit Juice Smoothie Naked Juice Green Machine,1,0,0,0,53,0.26,0.6,0.42,11,6,165,12.53,0.7,0,11.15
Fruit Juice Smoothie Bolthouse Farms Berry Boost,1,0,0,0,46,0.02,0.63,0.21,10,4,116,10.9,0,0,9.3
Fruit Juice Smoothie Bolthouse Farms Green Goodness,1,0,0,0,56,0.33,0.63,0.34,18,11,177,13.04,0.6,0,11.46
Fruit Juice Smoothie Bolthouse Farms Strawberry Banana,1,0,0,0,52,0.3,0.44,0.32,11,5,184,12.37,0.6,0,10.33
Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid Calcium And Potassium,1,0,0,0,48,0.17,0.12,0.13,70,5,184,11.49,0.3,0,9.47
Lemon Juice From Concentrate Bottled Real Lemon,1,0,0,0,17,0.07,0.47,0.06,9,26,109,5.66,0.7,0,1.59
Cranberry Sauce Whole Canned Ocean Spray,1,0,0,0,158,0.05,0.75,0.2,3,5,21,40.4,1.2,0,31.3
Cranberry Sauce Jellied Canned Ocean Spray,1,0,0,0,160,0.04,1.05,0.62,3,5,34,40.61,1,0,32.2
Ruby Red Grapefruit Juice Blend (Grapefruit Grape Apple) Ocean Spray Bottled With Added Vitamin C,1,0,0,0,44,0.1,0.5,0.14,10,8,94,10.53,0.2,0,10.3
Raspberries Puree Seedless,1,0,0,0,41,0.87,1.02,1.08,14,4,169,7.99,0.9,0,6.04
Raspberries Puree With Seeds,1,0,0,0,55,0.97,1.1,0.69,23,4,195,11.51,4.3,0,6.56
Fruit Syrup,1,0,0,0,341,0,0,0.04,8,0,7,85.13,0.1,0,53
Topping Smuckers Magic Shell,1,0,0,0,609,44.1,2.94,0,0,29,73,50.07,2.9,0,47.06
Syrup Fruit Flavored,1,0,0,0,261,0.02,0,0.03,0,0,1,65.1,0,0,65
Snacks Oriental Mix Rice-Based,1,0,0,0,506,25.58,17.31,2.44,54,413,328,51.62,13.2,0,3
Snacks Popcorn Air-Popped,0,1,0,0,387,4.54,12.94,3.19,7,8,329,77.78,14.5,0,0.87
Snacks Popcorn Cheese-Flavor,0,1,0,0,526,33.2,9.3,2.24,113,889,261,51.6,9.9,0,0.79
Snacks Pork Skins Plain,0,1,0,0,544,31.3,61.3,0.88,30,1818,127,0,0,0,0
Snacks Potato Chips Barbecue-Flavor,0,1,0,0,487,31.06,6.51,1.36,32,545,1186,55.92,3.8,0,5.47
Snacks M&m Mars Combos Snacks Cheddar Cheese Pretzel,0,1,0,0,463,16.92,9.85,0.92,197,1117,130,66.5,3.6,0,17.6
Snacks Rice Cracker Brown Rice Plain,0,1,0,0,387,2.8,8.2,1.49,11,166,290,81.5,4.2,0,0.89
Trail Mix,1,1,1,0,484,31.9,14.2,3.39,109,121,648,44.9,5,0,23.88
Tootsie Roll Chocolate-Flavor Roll,1,1,1,0,387,3.31,1.59,0.8,36,44,116,87.73,0.1,0,56.32
Butterscotch Candy,1,1,1,0,391,3.3,0.03,0.01,4,391,3,90.4,0,0,80.46
Carob Unsweetened,1,1,1,0,540,31.36,8.15,1.29,303,107,633,56.29,3.8,0,34.11
Caramel Candy,1,1,1,0,382,8.1,4.6,0.14,138,245,214,77,0,0,65.5
Caramello Candy Bar,1,1,0,0,462,21.19,6.19,1.09,213,122,341,63.81,1.2,0,56.92
Semisweet Chocolate,1,0,0,0,480,30,4.2,3.13,32,11,365,63.9,5.9,0,54.5
Sweet Chocolate,1,0,0,0,507,34.2,3.9,2.76,24,16,290,60.4,5.5,0,51.48
Sweet Chocolate Coated Fondant,1,0,0,0,366,9.3,2.2,1.56,17,26,168,80.4,2.1,0,71.42
Confectioners Coating Butterscotch,1,0,0,0,539,29.05,2.2,0.08,34,89,64,67.1,0,0,67.1
Ice Creams French Vanilla Soft-Serve,1,0,0,0,222,13,4.1,0.21,131,61,177,22.2,0.7,0,21.16
York Peppermint Pattie,1,0,0,0,384,7.17,2.19,0.92,11,28,111,80.99,2,0,63.78
Twizzlers Nibs Cherry Bits,1,0,0,0,347,2.64,2.3,0.28,8,195,37,79.37,0.6,0,51.35
Symphony Milk Chocolate Bar,1,0,0,0,531,30.57,8.51,0.91,251,101,438,58.01,1.7,0,53.96
5th Avenue Candy Bar,1,0,0,0,482,23.98,8.78,1.2,73,225,347,62.68,3.1,0,47.19
Kit Kat Wafer Bar,1,0,0,0,518,25.99,6.51,1,125,54,231,64.59,1,0,48.68
Krackel Chocolate Bar,1,0,0,0,523,26.58,6.62,1.06,158,196,325,64.34,2.2,0,52.53
Mars Snackfood Us Mars Almond Bar,1,0,0,0,467,23,8.1,1.1,168,170,325,62.7,2,0,52.1
Marshmallows,1,0,0,0,318,0.2,1.8,0.23,3,80,5,81.3,0.1,0,57.56
Nestle Oh Henry! Bar,1,0,0,0,462,23,7.7,0.5,69,193,259,65.5,1.9,0,46.2
Baking Chocolate Mexican Squares,1,0,0,0,426,15.59,3.64,2.18,34,3,397,77.41,4,0,69.4
Chocolate-Flavored Hazelnut Spread,1,1,0,0,539,29.73,5.41,4.38,108,41,407,62.36,5.4,0,54.05
Milk Chocolate Coated Peanuts,1,0,0,0,519,33.5,13.1,1.31,104,41,502,49.7,4.7,0,37.59
Glutino Gluten Free Wafers Lemon Flavored,1,0,0,0,515,24.18,0,0.18,9,111,36,74.39,0,0,42.31
Glutino Gluten Free Wafers Milk Chocolate,1,0,0,0,541,30.42,4.06,3.67,109,122,340,62.82,1.6,0,40.99
Marys Gone Crackers Original Crackers Organic Gluten Free,1,0,0,0,446,15.63,12.06,3.17,223,587,477,64.29,16.2,0,1
Sage Valley Gluten Free Vanilla Sandwich Cookies,1,1,0,0,499,22.15,3.13,0.45,17,212,144,71.88,1,0,43.94
Schar Gluten-Free Classic White Rolls,1,1,0,0,239,2.65,3.34,3.57,180,593,76,50.47,5.1,0,6.87
Schar Gluten-Free Wheat-Free Classic White Bread,1,1,0,0,240,4.47,3.81,3.17,159,441,66,46.13,5.1,0,3.34
Udis Gluten Free Classic French Dinner Rolls,1,1,0,0,310,6.4,7.99,0.78,82,707,161,55.1,3.6,0,9.53
Bread Multi-Grain (Includes Whole-Grain),1,1,0,0,265,4.23,13.36,2.5,103,381,230,43.34,7.4,0,6.39
Cookies Animal Crackers (Includes Arrowroot Tea Biscuits),1,1,0,0,446,13.8,6.9,2.75,43,335,100,74.1,1.1,0,23.3
Sweet Potatoes French Fried Crosscut Frozen Unprepared,1,1,0,0,209,11.1,1.7,0.44,39,214,244,25.52,3.4,0,6.46
Sweet Potato Puffs Frozen Unprepared,1,1,0,0,161,3.58,1.36,0.4,57,250,248,30.72,1.9,0,7.65
Restaurant Chinese Chicken Chow Mein,1,1,0,0,85,2.8,6.76,0.67,21,311,124,8.29,1,0,1.74
Restaurant Chinese Vegetable Chow Mein Without Meat Or Noodles,1,1,0,0,43,1.68,1.34,0.42,25,344,136,5.74,1.2,0,2.63
Olive Garden Spaghetti With Meat Sauce,1,1,1,0,121,3.28,5.8,1.03,15,209,164,17.19,1.7,0,1.67
Carrabbas Italian Grill Spaghetti With Meat Sauce,1,1,1,0,122,3.92,5.87,0.89,15,270,187,15.71,1.5,0,1.96
Restaurant Chinese Sesame Chicken,0,1,1,0,293,14.25,14.33,1.09,12,482,204,26.88,0.7,0,15.98
Syrups Grenadine,0,1,1,0,268,0,0,0.05,6,27,28,66.91,0,0,46.55
Imitation Cheese American Or Cheddar Low Cholesterol,0,1,0,0,390,32,25,0.7,705,670,55,1,0,0,1
Salad Dressing Peppercorn Dressing Commercial Regular,0,0,0,0,564,61.4,1.2,0.35,22,1103,176,3.5,0,0,2.45
Mayonnaise Reduced-Calorie Or Diet Cholesterol-Free,1,0,0,0,333,33.3,0.9,0,0,733,67,6.7,0,0,4.2
Granola Bar Soft Milk Chocolate Coated Peanut Butter,1,0,0,0,536,31.2,9.6,1.45,108,193,339,54.1,3.8,0,23.63
Salad Dressing Italian Dressing Reduced Calorie,1,0,0,0,200,20,0.3,0.13,6,1074,33,6.7,0.2,0,1.94
Cream Substitute Liquid Light,1,0,0,0,71,3.5,0.8,0.56,1,60,177,9.1,0,0,9.1
Cheese Monterey Low Fat,1,0,0,0,313,21.6,28.2,0.72,705,781,81,0.7,0,0,0.56
Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie Fat-Free,1,0,0,0,107,2.7,1.4,0.25,36,897,133,20,0,0,5.35
Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie Cholesterol-Free,1,0,0,0,140,8,1,0.26,36,932,49,16,0,0,3.28
Bologna Beef Low Fat,0,1,1,0,204,14.8,11.8,1,9,821,147,5.2,0,0,0
Mars Snackfood Us Twix Chocolate Fudge Cookie Bars,1,0,0,0,553,33.3,7.3,1.31,130,266,309,56,3,0,53
Frozen Yogurts Chocolate Nonfat Milk Sweetened Without Sugar,1,0,0,0,107,0.8,4.4,0.04,159,81,339,19.7,2,0,12.61
Frozen Yogurts Chocolate,1,0,0,0,131,3.6,3,0.46,100,63,234,21.6,2.3,0,19.24
Frozen Yogurts Flavors Other Than Chocolate,1,0,0,0,127,3.6,3,0.46,100,63,156,21.6,0,0,19.92
Papad,0,1,0,0,371,3.25,25.56,7.8,143,1745,1000,59.87,18.6,0,0
Rice Cake Cracker (Include Hain Mini Rice Cakes),0,1,0,0,392,4.3,7.1,1.49,11,71,428,81.1,4.2,0,0.88
Mars Snackfood Us M&Ms Almond Chocolate,1,0,1,0,522,27.76,7.53,1.73,155,45,381,60.5,5.6,0,49.22
Salad Dressing Coleslaw Dressing Reduced Fat,0,0,1,0,329,20,0,0.26,36,1600,50,40,0.4,0,38.73
Salad Dressing Mayonnaise And Mayonnaise-Type Low Calorie,0,1,0,0,263,19,0.9,0.26,14,837,24,23.9,0,0,4.34
Frozen Novelties Juice Type Orange,0,1,0,0,95,0,0.5,0.47,9,8,100,23.17,0.1,0,19.99
Cheese Cottage Lowfat 1% Milkfat No Sodium Added,0,0,1,0,72,1,12.4,0.14,61,13,86,2.7,0,0,2.7
Mayonnaise Low Sodium Low Calorie Or Diet,0,0,1,0,231,19.2,0.3,0,0,110,10,16,0,0,4.2
Snacks Tortilla Chips Unsalted White Corn,0,0,1,0,503,23.36,7.79,2.32,174,15,215,65.32,5.3,0,1
Cranberry Juice Unsweetened,0,0,1,0,46,0.13,0.39,0.25,8,2,77,12.2,0.1,0,12.1
Beef Bologna Reduced Sodium,0,0,1,0,310,28.4,11.7,1.4,12,682,155,2,0,0,0
Turnip Greens Canned No Salt Added,0,0,1,0,19,0.3,1.36,1.51,118,29,141,2.81,1.3,0,0.42
Cheese Pasteurized Process Cheddar Or American Low Sodium,0,0,1,0,376,31.19,22.2,0.39,616,7,162,1.6,0,0,0.45
Coffee Instant With Whitener Reduced Calorie,0,0,1,0,509,29.1,1.96,0.06,18,0,909,59.94,0.5,0,59
Cranberry-Apple Juice Drink Low Calorie With Vitamin C Added,0,0,1,0,19,0,0.1,0.06,10,5,45,4.7,0.1,0,4.6
Cheese Swiss Low Sodium,0,0,1,0,374,27.4,28.4,0.17,961,14,111,3.4,0,0,1.31
Babyfood Dinner Macaroni Beef And Tomato Sauce Toddler,0,0,1,0,82,1.9,4.34,0.8,12,35,148,11.53,1.1,0,0.37
Rolls Pumpernickel,0,0,1,0,276,2.8,10.8,2.78,67,492,208,51.87,5.4,0,0.4
Extruded Corn Chips,0,0,1,0,557,33.4,6.6,1.7,124,15,185,57.4,4.4,0,1.41
Beans Baked Canned No Salt Added,0,0,1,0,105,0.4,4.8,0.29,50,1,296,20.49,5.5,0,7.78
Jellyfish Dried Salted,0,0,1,0,36,1.4,5.5,2.27,2,9690,3,0,0,0,0
Frozen Novelties Ice Cream Type Chocolate Or Caramel Covered With Nuts,0,0,1,0,323,20.2,4.4,0.72,252,92,238,30.9,0.6,0,30
Frankfurter Low Sodium,0,0,1,0,312,28.51,12,1.43,20,311,166,1.8,0,0,0
Frozen Novelties Ice Type Pop With Low Calorie Sweetener,0,0,1,0,24,0,0,0.67,0,10,11,5.92,0,0,1.52
Ice Creams Chocolate Rich,0,0,1,0,251,16.98,4.72,1.02,142,57,238,19.78,0.9,0,17.35
Snacks Tortilla Chips Light (Baked With Less Oil),0,0,1,0,465,15.2,8.7,1.63,159,400,272,73.4,5.7,0,0.53
Post Honey Bunches Of Oats Honey Roasted,0,0,1,0,401,5.46,7.12,34.82,23,454,209,81.19,4.2,0,19.79
Popcorn Microwave Low Fat And Sodium,0,0,1,0,429,9.5,12.6,2.28,11,490,241,73.39,14.2,0,0.54
Cheese Swiss Low Fat,1,0,0,0,179,5.1,28.4,0.17,961,199,111,3.4,0,0,1.33
Sweeteners Tabletop Fructose Liquid,1,0,0,0,279,0,0,0.11,1,2,0,76.1,0.1,0,76
Puddings Chocolate Flavor Low Calorie Instant Dry Mix,1,0,0,0,356,2.4,5.3,3.11,126,2838,1279,78.2,6.1,0,0.7
Jellies Reduced Sugar Home Preserved,1,0,0,0,179,0.03,0.3,0.18,5,2,71,46.1,0.8,0,45.3
Vital Wheat Gluten,1,0,0,0,370,1.85,75.16,5.2,142,29,100,13.79,0.6,0,0
Frog Legs Raw,0,0,0,0,73,0.3,16.4,1.5,18,58,285,0,0,0,0
Fish Mackerel Salted,0,0,0,0,305,25.1,18.5,1.4,66,4450,520,0,0,0,0
Kiwifruit,1,0,0,0,61,0.52,1.14,0.31,34,3,312,14.66,3,0,8.99
Kumquats,1,0,0,0,71,0.86,1.88,0.86,62,10,186,15.9,6.5,0,9.36
Limes,1,0,0,0,30,0.2,0.7,0.6,33,2,102,10.54,2.8,0,1.69
Lime Juice,1,0,0,0,25,0.07,0.42,0.09,14,2,117,8.42,0.4,0,1.69
Lime Juice Canned Or Bottled Unsweetened,1,0,0,0,21,0.23,0.25,0.23,12,16,75,6.69,0.4,0,1.37
Dried Blueberries (Sweetened),1,0,0,0,317,2.5,2.5,0.9,19,3,214,80,7.5,0,67.5
Prunes (Dried Plums),1,0,0,0,240,0.38,2.18,0.93,43,2,732,63.88,7.1,0,38.13
Golden Seedless Raisins,1,0,0,0,301,0.2,3.28,0.98,64,24,746,80.02,3.3,0,65.7
Raisins,1,0,0,0,299,0.25,3.3,1.79,62,26,744,79.32,4.5,0,65.18
Rhubarb Frozen Uncooked,1,0,0,0,21,0.11,0.55,0.29,194,2,108,5.1,1.8,0,1.1
Rhubarb Frozen Cooked With Sugar,1,0,0,0,116,0.05,0.39,0.21,145,1,96,31.2,2,0,28.7
Strawberries Canned Heavy Syrup Pack Solids And Liquids,1,0,0,0,92,0.26,0.56,0.49,13,4,86,23.53,1.7,0,21.83
Frozen Strawberries,1,0,0,0,35,0.11,0.43,0.75,16,2,148,9.13,2.1,0,4.56
Strawberries Frozen Sweetened Sliced,1,0,0,0,96,0.13,0.53,0.59,11,3,98,25.92,1.9,0,24.01
Feijoa,1,0,0,0,61,0.42,0.71,0.14,17,3,172,15.21,6.4,0,8.2
Asian Pears,1,0,0,0,42,0.23,0.5,0,4,0,121,10.65,3.6,0,7.05
Fruit Cocktail Canned Heavy Syrup Drained,1,0,0,0,70,0.1,0.47,0.29,7,6,90,18.8,1.7,0,17.14
Blueberries Canned Light Syrup Drained,1,0,0,0,88,0.4,1.04,0.43,6,3,54,22.66,2.6,0,17.45
Blueberries Wild Canned Heavy Syrup Drained,1,0,0,0,107,0.34,0.56,2.2,19,1,46,28.32,4.9,0,19.28
Peaches Canned Heavy Syrup Drained,1,0,0,0,72,0.18,0.52,0.27,3,6,94,18.43,1.2,0,14.66
Pears Canned Heavy Syrup Drained,1,0,0,0,74,0.18,0.24,0.22,6,5,66,19.08,2.7,0,16.42
Plums Canned Heavy Syrup Drained,1,0,0,0,89,0.14,0.44,0.84,10,19,93,23.12,1.5,0,21.58
Tangerines (Mandarin Oranges) Canned Juice Pack Drained,1,0,0,0,38,0.04,0.75,0.27,12,5,136,9.41,1.2,0,8.25
Peach Nectar Canned With Added Ascorbic Acid,1,0,0,0,50,0.51,0.21,0.07,6,8,50,11.93,0.1,0,11.16
Pear Nectar Canned With Added Ascorbic Acid,1,0,0,0,60,0.01,0.11,0.26,5,4,13,15.76,0.6,0,15.16
Pineapple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,1,0,0,0,53,0.12,0.36,0.31,13,2,130,12.87,0.2,0,9.98
Grapefruit Juice White Bottled Unsweetened Ocean Spray,1,0,0,0,37,0.64,0.54,0.08,15,2,142,7.51,0.6,0,7.69
Medjool Dates,1,0,0,0,277,0.15,1.81,0.9,64,1,696,74.97,6.7,0,66.47
Pineapple Raw Extra Sweet Variety,1,0,0,0,51,0.11,0.53,0.28,13,1,108,13.5,1.4,0,10.32
Clementines,1,0,0,0,47,0.15,0.85,0.14,30,1,177,12.02,1.7,0,9.18
Guanabana Nectar Canned,1,0,0,0,59,0.17,0.11,0.36,7,8,25,14.93,0.1,0,13.07
Juice Apple And Grape Blend With Added Ascorbic Acid,1,0,0,0,50,0.12,0.16,0.11,11,7,96,12.46,0.2,0,10.92
Juice Apple Grape And Pear Blend With Added Ascorbic Acid And Calcium,1,0,0,0,52,0.12,0.17,0.14,72,5,89,12.96,0.2,0,9.95
Plantains Green Fried,1,0,0,0,309,11.81,1.5,0.67,4,2,482,49.17,3.5,0,3.63
Fried Yellow Plantains,1,0,0,0,236,7.51,1.42,0.62,6,6,507,40.77,3.2,0,21.76
Red Delicious Apples,1,0,0,0,59,0.2,0.27,0.11,6,1,104,14.06,2.3,0,10.48
Golden Delicious Apples,1,0,0,0,57,0.15,0.28,0.13,6,2,100,13.6,2.4,0,10.04
Granny Smith Apples,1,0,0,0,58,0.19,0.44,0.15,5,1,120,13.61,2.8,0,9.59
Gala Apples,1,0,0,0,57,0.12,0.25,0.12,7,1,108,13.68,2.3,0,10.37
Fortified Fruit Juice Smoothie,1,0,0,0,71,0,0.42,0.15,0,4,154,16.67,2.9,0,12.08
Grape Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid And Calcium,1,0,0,0,62,0.13,0.37,0.25,42,5,104,14.77,0.2,0,14.2
Fruit Juice Smoothie Odwalla Original Superfood,1,0,0,0,50,0.36,0.63,0.39,7,3,145,11.51,0.6,0,10.16
Frozen Raspberries,1,0,0,0,56,0.81,1.15,0.76,24,4,184,12.55,4.3,0,6.54
Guava Nectar With Sucralose Canned,1,0,0,0,48,0.07,0.3,0.54,8,6,33,13.3,1.2,0,10.15
Kiwifruit Zespri Sungold Raw,1,0,0,0,63,0.28,1.02,0.21,17,3,315,15.79,1.4,0,12.3
Cranberry Juice Blend 100% Juice Bottled With Added Vitamin C And Calcium,1,0,0,0,45,0.12,0.27,0.08,19,6,76,10.91,0.1,0,9.8
